# Wavelength/AA, Flux/AA
5.373003833086505438e+03,9.911830936669994152e-01
5.373053837442285840e+03,9.920468784386871075e-01
5.373103841798066242e+03,9.924561675411033290e-01
5.373153846153845734e+03,9.927677009079769466e-01
5.373203850509626136e+03,9.929796473260965595e-01
5.373253854865406538e+03,9.930178922022955268e-01
5.373303859221186940e+03,9.932956617311623493e-01
5.373353863576966432e+03,9.933971463322179840e-01
5.373403867932746834e+03,9.916510941631595522e-01
5.374103928913668824e+03,9.909866546374455076e-01
5.374153933269448316e+03,9.921115007150872467e-01
5.374203937625228718e+03,9.911164064136980256e-01
5.374553968115689713e+03,9.900589474608189056e-01
5.375004007317710602e+03,9.951620940012517735e-01
5.375054011673491004e+03,9.976696243146720988e-01
5.375104016029270497e+03,9.970728115256509705e-01
5.375154020385050899e+03,9.939276893052804152e-01
5.375504050875511894e+03,9.918820571394668661e-01
5.375554055231292296e+03,9.957697201724271530e-01
5.375604059587071788e+03,9.980066642886507022e-01
5.375654063942852190e+03,9.984480463073440726e-01
5.375704068298632592e+03,9.985584122479194136e-01
5.375754072654412084e+03,9.984351612216626481e-01
5.375804077010192486e+03,9.983325178559490087e-01
5.375854081365972888e+03,9.979564581919286859e-01
5.375904085721752381e+03,9.975895175114627422e-01
5.375954090077532783e+03,9.964712924005759698e-01
5.376004094433313185e+03,9.935896086173446884e-01
5.377254203327815958e+03,9.929910089971283327e-01
5.377304207683596360e+03,9.975921232706980168e-01
5.377354212039375852e+03,9.965356605426320957e-01
5.377904259952957545e+03,9.954750398823987156e-01
5.377954264308737947e+03,9.976335720298010745e-01
5.378004268664517440e+03,9.959304410372589178e-01
5.378054273020297842e+03,9.909211496075093217e-01
5.378454307866539239e+03,9.948202554662219921e-01
5.378504312222318731e+03,9.974151672161164495e-01
5.378554316578099133e+03,9.973011857865216045e-01
5.378604320933879535e+03,9.958272988956529126e-01
5.378654325289659027e+03,9.945432586143966303e-01
5.378704329645439429e+03,9.938254512073882996e-01
5.378754334001219831e+03,9.937413126828170684e-01
5.378804338356999324e+03,9.944345936720682122e-01
5.378854342712779726e+03,9.959198689886639144e-01
5.378904347068560128e+03,9.975481017881697721e-01
5.378954351424340530e+03,9.983837633967012071e-01
5.379004355780120022e+03,9.978896808299572152e-01
5.379054360135900424e+03,9.966004664251865153e-01
5.379104364491680826e+03,9.947455584551275765e-01
5.379154368847460319e+03,9.929260561308985711e-01
5.379204373203240721e+03,9.912157612940273310e-01
5.379254377559021123e+03,9.901071633552862572e-01
5.379854429828382308e+03,9.934709871478115684e-01
5.379904434184162710e+03,9.967306422328264803e-01
5.379954438539942203e+03,9.970461263102436966e-01
5.380004442895722605e+03,9.971720038797814434e-01
5.380054447251503007e+03,9.967897643398850871e-01
5.380104451607282499e+03,9.946408573864213842e-01
5.380554490809304298e+03,9.917844780686735362e-01
5.380604495165083790e+03,9.943742150684544701e-01
5.380654499520864192e+03,9.953775824793704707e-01
5.380704503876644594e+03,9.958057444277205184e-01
5.380754508232424087e+03,9.906522665566059871e-01
5.381354560501786182e+03,9.938016558286990598e-01
5.381404564857565674e+03,9.951220365516846300e-01
5.381454569213346076e+03,9.962774622613312925e-01
5.381504573569126478e+03,9.961956657158327344e-01
5.381554577924905971e+03,9.928286240431360987e-01
5.382004617126927769e+03,9.919516360649873743e-01
5.382054621482707262e+03,9.949494553514069972e-01
5.382104625838487664e+03,9.964210765785602719e-01
5.382154630194268066e+03,9.966323724649849281e-01
5.382204634550047558e+03,9.952179197649120290e-01
5.382254638905827960e+03,9.911376234023063780e-01
5.384304817492812617e+03,9.910511965693553638e-01
5.384354821848593019e+03,9.923391447148310895e-01
5.384404826204373421e+03,9.908693747326926538e-01
5.385804948166216491e+03,9.936668843251016403e-01
5.385854952521996893e+03,9.974345210019770480e-01
5.385904956877776385e+03,9.984031343571173611e-01
5.385954961233556787e+03,9.985807954947968357e-01
5.386004965589337189e+03,9.987545903214652965e-01
5.386054969945117591e+03,9.970477486880506834e-01
5.386605017858698375e+03,9.955383725422430885e-01
5.386655022214478777e+03,9.981398709595671326e-01
5.386705026570259179e+03,9.951888031821956027e-01
5.387255074483839962e+03,9.933689348624605842e-01
5.387805122397421655e+03,9.920417777017253025e-01
5.387855126753201148e+03,9.974092273539020281e-01
5.387905131108981550e+03,9.988492345162743868e-01
5.387955135464761952e+03,9.992422204669793029e-01
5.388005139820541444e+03,9.994220955843782228e-01
5.388055144176321846e+03,9.980888551832183264e-01
5.388105148532102248e+03,9.918638347185175785e-01
5.388755205157243836e+03,9.901032537464580230e-01
5.388805209513024238e+03,9.939662642148868743e-01
5.388855213868803730e+03,9.945103308839944312e-01
5.388905218224584132e+03,9.919760982905104774e-01
5.392555536196532557e+03,9.911004405858460098e-01
5.392605540552312959e+03,9.946257389771422375e-01
5.392655544908093361e+03,9.946075686901860724e-01
5.392705549263872854e+03,9.932177743457935026e-01
5.392755553619653256e+03,9.913589868908740943e-01
5.394005662514156029e+03,9.907671947417974190e-01
5.394055666869936431e+03,9.937241101408194055e-01
